type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Pass,Bayer Leverkusen,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,Jeremie Frimpong,97862e41-8162-462d-966c-20907bac6716,00:04:58.409,"[57.8, 65.6]","[63.1, 72.6]",8.780091,
Ball Receipt*,Bayer Leverkusen,Jeremie Frimpong,Right Wing Back,32712.0,,2134c16a-89a6-4c8f-bcc3-95339ff6ee8c,00:04:59.656,"[63.1, 72.6]",,,
Carry,Bayer Leverkusen,Jeremie Frimpong,Right Wing Back,32712.0,,7cd7ca7c-1a6f-4462-a3d7-807dee884e86,00:04:59.656,"[63.1, 72.6]",,,
Pass,Bayer Leverkusen,Jeremie Frimpong,Right Wing Back,32712.0,Jonas Hofmann,7de44808-f2d7-4e70-867e-3e80d4d3ac44,00:05:01.313,"[64.7, 75.0]","[69.1, 64.0]",11.8473625,
Ball Receipt*,Bayer Leverkusen,Jonas Hofmann,Right Wing,8804.0,,83eea9c1-06df-47e7-8331-e4ea00bcd5b7,00:05:02.162,"[69.1, 64.0]",,,
Pass,Bayer Leverkusen,Jonas Hofmann,Right Wing,8804.0,Exequiel Alejandro Palacios,cabe7a89-5bbb-4aff-b7e9-04be4291461c,00:05:02.162,"[69.5, 64.2]","[62.9, 64.4]",6.6030297,
Ball Receipt*,Bayer Leverkusen,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,,db033c3c-c5f2-4c87-b560-27eb9759a6a2,00:05:02.615,"[62.9, 64.4]",,,
Pass,Bayer Leverkusen,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,Jeremie Frimpong,f9d09c0a-2818-4faf-ba9d-4b0bec1414bc,00:05:02.615,"[62.9, 64.8]","[83.5, 80.0]",25.60078,Out
Ball Receipt*,Bayer Leverkusen,Jeremie Frimpong,Right Wing Back,32712.0,,9b5cf4b2-0c74-43f0-b877-34990738da3e,00:05:04.498,"[78.5, 77.1]",,,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,3acafed4-ed80-481d-adb1-6d8bcabdb08d,00:05:12.632,"[32.3, 0.1]","[14.1, 12.9]",22.250393,
Ball Receipt*,RB Leipzig,Willi Orban,Left Center Back,8509.0,,c23e3eb6-c6dd-4b4f-8eaf-5473b505ad9a,00:05:14.032,"[14.1, 12.9]",,,
Carry,RB Leipzig,Willi Orban,Left Center Back,8509.0,,394bdb55-88c5-43c6-a113-15457f7dcf1b,00:05:14.032,"[14.1, 12.9]",,,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,392dd4b7-a180-48b3-9dbc-acabf60191e3,00:05:15.219,"[12.0, 14.9]","[21.5, 7.5]",12.042009,
Ball Receipt*,RB Leipzig,David Raum,Left Back,12034.0,,2add13d1-e99d-4136-ab7e-853a487aa346,00:05:16.342,"[21.5, 7.5]",,,
Carry,RB Leipzig,David Raum,Left Back,12034.0,,677c2260-b99e-46fe-983b-d8be3d3623ff,00:05:16.342,"[21.5, 7.5]",,,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Xaver Schlager,4a574c7f-cffa-4555-9ba1-e18af3476fbf,00:05:16.553,"[23.7, 6.9]","[23.7, 15.7]",8.8,
Ball Receipt*,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,,da096edb-269d-4bbf-85f0-16f9d6d675bb,00:05:17.474,"[23.7, 15.7]",,,
Carry,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,,78c9fc5e-2d64-4fae-a14d-b9253211ecf5,00:05:17.474,"[23.7, 15.7]",,,
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Ikoma Loïs Openda,8d1f4b7d-8eff-47e6-ae0c-91b8d06bc7d9,00:05:18.406,"[25.5, 15.1]","[48.4, 33.4]",29.31382,
Ball Receipt*,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,f2d2fda6-0d5f-4519-8c00-771a4f8ccaa3,00:05:19.931,"[48.4, 33.4]",,,
Carry,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,1cce44ec-247a-4b01-86ae-aee511d9af28,00:05:19.931,"[48.4, 33.4]",,,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Xavi Simons,73950e1c-c4c5-46d2-9b4b-9751c3c09646,00:05:20.091,"[50.0, 33.4]","[40.4, 47.6]",17.140594,
Ball Receipt*,RB Leipzig,Xavi Simons,Right Midfield,39167.0,,80b5572a-d2bf-4bac-ae05-1724682e6848,00:05:21.063,"[40.4, 47.6]",,,
Carry,RB Leipzig,Xavi Simons,Right Midfield,39167.0,,08849140-7424-46b1-be08-ebd78e548e26,00:05:21.063,"[40.4, 47.6]",,,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Benjamin Henrichs,67b350e2-a656-4ee2-ba54-6a99f81f12a6,00:05:22.207,"[42.0, 50.9]","[63.9, 73.8]",31.686275,
Ball Receipt*,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,f302d779-957c-4d6f-999d-e1b1a994308a,00:05:25.116,"[63.9, 73.8]",,,
Carry,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,0b07deed-d20e-4434-abd6-4aaf53e71e62,00:05:25.116,"[63.9, 73.8]",,,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Timo Werner,a7b72d56-d15c-4956-8b4e-13e2463fdbd2,00:05:29.404,"[87.8, 63.7]","[84.0, 55.1]",9.402127,
Pressure,RB Leipzig,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,,afee8057-c990-444c-adfb-30a539eb4c30,00:05:29.882,"[35.9, 28.4]",,,
Ball Receipt*,RB Leipzig,Timo Werner,Left Midfield,5557.0,,7c1f4235-c549-44da-93be-fb25beb18c72,00:05:30.112,"[84.0, 55.1]",,,
Pass,RB Leipzig,Timo Werner,Left Midfield,5557.0,Xavi Simons,57a158a9-efa6-45c3-ac61-da3f76ba1181,00:05:30.112,"[84.6, 53.9]","[84.2, 62.3]",8.409518,
Ball Receipt*,RB Leipzig,Xavi Simons,Right Midfield,39167.0,,71bb5b43-2991-4382-a5d2-dc3741253572,00:05:31.700,"[84.2, 62.3]",,,
Carry,RB Leipzig,Xavi Simons,Right Midfield,39167.0,,4fb0bdad-2281-4f6e-8094-850771b95eab,00:05:31.700,"[84.2, 62.3]",,,
Pressure,RB Leipzig,Exequiel Alejandro Palacios,Right Defensive Midfield,28268.0,,43fe8ca2-b942-4723-aa5a-66d12ca2871d,00:05:31.859,"[32.5, 17.6]",,,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Ikoma Loïs Openda,075c0693-e1c7-4b91-b807-d4a145a3463b,00:05:32.224,"[84.6, 62.5]","[91.4, 75.0]",14.229898,
Ball Receipt*,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,377f51e4-5ee6-4008-8d75-0027bc896355,00:05:32.745,"[91.4, 75.0]",,,
Carry,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,,7c276b01-b3bf-49ba-9aa3-24024921d4a9,00:05:32.745,"[91.4, 75.0]",,,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Xavi Simons,17daec9d-d530-4267-a9b4-fba1cefc65a9,00:05:33.847,"[90.9, 76.5]","[96.1, 66.1]",11.627554,
Ball Receipt*,RB Leipzig,Xavi Simons,Right Midfield,39167.0,,4fc8ca15-dded-40c3-a2a1-be06f304fa8e,00:05:34.429,"[96.1, 66.1]",,,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Benjamin Henrichs,0846214e-8df7-4642-9a0d-9efa7eaf5e2e,00:05:34.429,"[96.5, 65.3]","[102.1, 72.5]",9.121404,
Ball Receipt*,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,5c354025-43e2-4d92-806e-430504d2a1ef,00:05:35.101,"[102.1, 72.5]",,,
Carry,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,7c0f05fc-c99b-4f43-8a1d-7fb702133afa,00:05:35.101,"[102.1, 72.5]",,,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Xavi Simons,7b49350d-f92c-4f31-a372-4aebb65efd24,00:05:36.235,"[106.6, 74.2]","[117.0, 56.4]",20.615528,Incomplete
